Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
11770,2,41620.8,4/27/2020,6/1/2024,1496
11760,4,53248,6/8/2020,6/1/2024,1454
11770,2,42286.4,6/16/2020,6/1/2024,1446
11770,2,42120,7/20/2020,6/1/2024,1412
12020,2,41496,8/3/2020,6/1/2024,1398
17690,4,68140.8,8/10/2020,6/1/2024,1391
11700,3,46508.8,8/31/2020,6/1/2024,1370
11700,3,45947.2,9/8/2020,6/1/2024,1362
11770,2,43347.2,9/14/2020,6/1/2024,1356
12060,3,47840,9/14/2020,6/1/2024,1356
17690,4,68140.8,9/28/2020,6/1/2024,1342
12060,3,42411.2,10/19/2020,6/1/2024,1321
11770,2,44179.2,10/26/2020,6/1/2024,1314
11600,1,32884.8,11/16/2020,6/1/2024,1293
11770,2,37544,11/16/2020,6/1/2024,1293
11760,4,53102.4,12/28/2020,6/1/2024,1251
11600,1,38604.8,1/4/2021,6/1/2024,1244
11760,4,53352,1/11/2021,6/1/2024,1237
11600,1,38958.4,1/18/2021,6/1/2024,1230
11770,2,43763.2,1/25/2021,6/1/2024,1223
11600,1,38500.8,2/1/2021,6/1/2024,1216
11770,2,43118.4,2/8/2021,6/1/2024,1209
11770,2,41454.4,3/22/2021,6/1/2024,1167
11710,2,43638.4,3/29/2021,6/1/2024,1160
11760,4,53830.4,4/5/2021,6/1/2024,1153
11700,3,47756.8,4/5/2021,6/1/2024,1153
11700,3,47299.2,5/17/2021,6/1/2024,1111
11760,4,50440,5/24/2021,6/1/2024,1104
11700,3,46072,5/24/2021,6/1/2024,1104
11700,3,42328,6/7/2021,6/1/2024,1090
11760,4,51916.8,6/7/2021,6/1/2024,1090
12100,4,48859.2,6/14/2021,6/1/2024,1083
11770,2,41454.4,7/26/2021,6/1/2024,1041
11770,2,42473.6,8/2/2021,6/1/2024,1034
11790,2,39894.4,8/9/2021,6/1/2024,1027
11700,3,43804.8,8/9/2021,6/1/2024,1027
11770,2,40622.4,8/9/2021,6/1/2024,1027
11760,4,51916.8,8/23/2021,6/1/2024,1013
11760,4,47403.2,8/30/2021,6/1/2024,1006
11710,2,44512,9/20/2021,6/1/2024,985
11820,2,42369.6,9/27/2021,6/1/2024,978
11710,2,40206.4,10/4/2021,6/1/2024,971
11700,3,47590.4,10/18/2021,6/1/2024,957
11700,3,47132.8,10/25/2021,6/1/2024,950
11700,3,47756.8,11/1/2021,6/1/2024,943
11700,3,46072,11/1/2021,6/1/2024,943
11700,3,47299.2,11/8/2021,6/1/2024,936
11790,2,40580.8,11/8/2021,6/1/2024,936
11770,2,43118.4,12/6/2021,6/1/2024,908
12020,2,44179.2,12/20/2021,6/1/2024,894
11700,3,40934.4,12/30/2021,6/1/2024,884
11600,1,37440,1/31/2022,6/1/2024,852
11770,2,42140.8,2/7/2022,6/1/2024,845
11700,3,47132.8,2/14/2022,6/1/2024,838
11710,2,39956.8,2/14/2022,6/1/2024,838
11790,2,41600,2/14/2022,6/1/2024,838
11700,3,46508.8,2/21/2022,6/1/2024,831
11790,2,43430.4,2/28/2022,6/1/2024,824
11790,2,40768,3/14/2022,6/1/2024,810
11710,2,39998.4,3/14/2022,6/1/2024,810
